recipe,ingredients,image_url,dietary,instructions
apple_pie,apple sugar flour butter cinnamon,/dataset/food-101/images/apple_pie/1005649.jpg,gluten-free,"Gather all ingredients: apple sugar flour butter cinnamon. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
baby_back_ribs,pork ribs barbecue_sauce,/dataset/food-101/images/baby_back_ribs/1005293.jpg,non-veg,"Gather all ingredients: pork ribs barbecue_sauce. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
baklava,phyllo_dough nuts honey butter,/dataset/food-101/images/baklava/1006121.jpg,vegetarian,"Gather all ingredients: phyllo_dough nuts honey butter. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
beef_carpaccio,beef olive_oil arugula parmesan,/dataset/food-101/images/beef_carpaccio/1011469.jpg,non-veg,"Gather all ingredients: beef olive_oil arugula parmesan. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
beef_tartare,beef egg_yolk capers onion,/dataset/food-101/images/beef_tartare/1000431.jpg,non-veg,"Gather all ingredients: beef egg_yolk capers onion. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
beet_salad,beet goat_cheese arugula walnuts,/dataset/food-101/images/beet_salad/1003501.jpg,vegetarian,"Gather all ingredients: beet goat_cheese arugula walnuts. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
beignets,dough powdered_sugar,/dataset/food-101/images/beignets/1000911.jpg,vegetarian,"Gather all ingredients: dough powdered_sugar. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
bibimbap,rice beef egg vegetables gochujang,/dataset/food-101/images/bibimbap/1002297.jpg,non-veg,"Gather all ingredients: rice beef egg vegetables gochujang. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
bread_pudding,bread milk eggs sugar cinnamon,/dataset/food-101/images/bread_pudding/1004499.jpg,non-veg,"Gather all ingredients: bread milk eggs sugar cinnamon. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
breakfast_burrito,tortilla eggs cheese sausage potato,/dataset/food-101/images/breakfast_burrito/1000351.jpg,non-veg,"Gather all ingredients: tortilla eggs cheese sausage potato. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
bruschetta,bread tomato basil garlic olive_oil,/dataset/food-101/images/bruschetta/1003796.jpg,vegetarian,"Gather all ingredients: bread tomato basil garlic olive_oil. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
caesar_salad,lettuce croutons parmesan chicken caesar_dressing,/dataset/food-101/images/caesar_salad/1000016.jpg,non-veg,"Gather all ingredients: lettuce croutons parmesan chicken caesar_dressing. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
cannoli,ricotta chocolate_chips pastry_shell,/dataset/food-101/images/cannoli/1007970.jpg,vegetarian,"Gather all ingredients: ricotta chocolate_chips pastry_shell. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
caprese_salad,tomato mozzarella basil olive_oil,/dataset/food-101/images/caprese_salad/1001946.jpg,vegetarian,"Gather all ingredients: tomato mozzarella basil olive_oil. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
carrot_cake,carrot flour sugar eggs cream_cheese,/dataset/food-101/images/carrot_cake/1000447.jpg,non-veg,"Gather all ingredients: carrot flour sugar eggs cream_cheese. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
ceviche,fish lime onion cilantro tomato,/dataset/food-101/images/ceviche/1006106.jpg,non-veg,"Gather all ingredients: fish lime onion cilantro tomato. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
cheesecake,cream_cheese sugar eggs graham_cracker,/dataset/food-101/images/cheesecake/1001446.jpg,non-veg,"Gather all ingredients: cream_cheese sugar eggs graham_cracker. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
cheese_plate,cheese crackers fruit,/dataset/food-101/images/cheese_plate/100370.jpg,vegetarian,"Gather all ingredients: cheese crackers fruit. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
chicken_curry,chicken curry_paste coconut_milk onion,/dataset/food-101/images/chicken_curry/1004867.jpg,non-veg,"Gather all ingredients: chicken curry_paste coconut_milk onion. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
chicken_quesadilla,tortilla chicken cheese,/dataset/food-101/images/chicken_quesadilla/1004279.jpg,non-veg,"Gather all ingredients: tortilla chicken cheese. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
chicken_wings,chicken wings hot_sauce butter,/dataset/food-101/images/chicken_wings/1003533.jpg,non-veg,"Gather all ingredients: chicken wings hot_sauce butter. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
chocolate_cake,flour sugar cocoa eggs butter,/dataset/food-101/images/chocolate_cake/1001084.jpg,non-veg,"Gather all ingredients: flour sugar cocoa eggs butter. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
chocolate_mousse,chocolate eggs cream sugar,/dataset/food-101/images/chocolate_mousse/1013482.jpg,non-veg,"Gather all ingredients: chocolate eggs cream sugar. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
churros,dough sugar cinnamon,/dataset/food-101/images/churros/1004234.jpg,vegetarian,"Gather all ingredients: dough sugar cinnamon. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
clam_chowder,clams potato cream onion,/dataset/food-101/images/clam_chowder/1000678.jpg,vegetarian,"Gather all ingredients: clams potato cream onion. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
club_sandwich,bread chicken bacon lettuce tomato,/dataset/food-101/images/club_sandwich/1017761.jpg,non-veg,"Gather all ingredients: bread chicken bacon lettuce tomato. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
crab_cakes,crab breadcrumbs egg mayonnaise,/dataset/food-101/images/crab_cakes/100038.jpg,non-veg,"Gather all ingredients: crab breadcrumbs egg mayonnaise. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
creme_brulee,cream sugar eggs vanilla,/dataset/food-101/images/creme_brulee/1000711.jpg,non-veg,"Gather all ingredients: cream sugar eggs vanilla. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
croque_madame,bread ham cheese egg bechamel,/dataset/food-101/images/croque_madame/1009085.jpg,non-veg,"Gather all ingredients: bread ham cheese egg bechamel. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
cup_cakes,flour sugar eggs butter frosting,/dataset/food-101/images/cup_cakes/1005580.jpg,non-veg,"Gather all ingredients: flour sugar eggs butter frosting. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
deviled_eggs,eggs mayonnaise mustard paprika,/dataset/food-101/images/deviled_eggs/1008777.jpg,non-veg,"Gather all ingredients: eggs mayonnaise mustard paprika. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
donuts,dough sugar glaze,/dataset/food-101/images/donuts/100076.jpg,vegetarian,"Gather all ingredients: dough sugar glaze. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
dumplings,dough pork cabbage,/dataset/food-101/images/dumplings/1000786.jpg,non-veg,"Gather all ingredients: dough pork cabbage. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
edamame,soybeans salt,/dataset/food-101/images/edamame/1000653.jpg,vegetarian,"Gather all ingredients: soybeans salt. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
eggs_benedict,english_muffin ham eggs hollandaise_sauce,/dataset/food-101/images/eggs_benedict/1000104.jpg,non-veg,"Gather all ingredients: english_muffin ham eggs hollandaise_sauce. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
escargots,snail butter garlic parsley,/dataset/food-101/images/escargots/1011707.jpg,vegetarian,"Gather all ingredients: snail butter garlic parsley. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
falafel,chickpeas parsley garlic cumin,/dataset/food-101/images/falafel/1003181.jpg,vegetarian,"Gather all ingredients: chickpeas parsley garlic cumin. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
filet_mignon,beef butter garlic,/dataset/food-101/images/filet_mignon/1001477.jpg,non-veg,"Gather all ingredients: beef butter garlic. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
fish_and_chips,fish potato flour beer,/dataset/food-101/images/fish_and_chips/1001881.jpg,non-veg,"Gather all ingredients: fish potato flour beer. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
foie_gras,duck_liver butter brioche,/dataset/food-101/images/foie_gras/1004944.jpg,vegetarian,"Gather all ingredients: duck_liver butter brioche. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
french_fries,potato oil salt,/dataset/food-101/images/french_fries/100148.jpg,vegetarian,"Gather all ingredients: potato oil salt. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
french_onion_soup,onion beef_stock bread cheese,/dataset/food-101/images/french_onion_soup/1006274.jpg,non-veg,"Gather all ingredients: onion beef_stock bread cheese. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
french_toast,bread eggs milk butter,/dataset/food-101/images/french_toast/100223.jpg,non-veg,"Gather all ingredients: bread eggs milk butter. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
fried_calamari,squid flour oil,/dataset/food-101/images/fried_calamari/100411.jpg,gluten-free,"Gather all ingredients: squid flour oil. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
fried_rice,rice egg vegetables soy_sauce,/dataset/food-101/images/fried_rice/1004221.jpg,non-veg,"Gather all ingredients: rice egg vegetables soy_sauce. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
frozen_yogurt,yogurt sugar fruit,/dataset/food-101/images/frozen_yogurt/1000735.jpg,vegetarian,"Gather all ingredients: yogurt sugar fruit. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
garlic_bread,bread butter garlic parsley,/dataset/food-101/images/garlic_bread/100478.jpg,vegetarian,"Gather all ingredients: bread butter garlic parsley. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
gnocchi,potato flour egg,/dataset/food-101/images/gnocchi/100409.jpg,non-veg,"Gather all ingredients: potato flour egg. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
greek_salad,tomato cucumber feta olive,/dataset/food-101/images/greek_salad/1007149.jpg,vegetarian,"Gather all ingredients: tomato cucumber feta olive. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
grilled_cheese_sandwich,bread cheese butter,/dataset/food-101/images/grilled_cheese_sandwich/1003153.jpg,vegetarian,"Gather all ingredients: bread cheese butter. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
