recipe,ingredients,image_url,dietary,instructions
grilled_salmon,salmon olive_oil lemon dill,/dataset/food-101/images/grilled_salmon/1002334.jpg,vegetarian,"Gather all ingredients: salmon olive_oil lemon dill. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
guacamole,avocado lime onion tomato,/dataset/food-101/images/guacamole/1005906.jpg,vegetarian,"Gather all ingredients: avocado lime onion tomato. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
gyro,meat pita tzatziki onion tomato,/static/images/default.jpg,vegetarian,"Gather all ingredients: meat pita tzatziki onion tomato. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
hamburger,beef bun cheese lettuce tomato,/dataset/food-101/images/hamburger/100057.jpg,non-veg,"Gather all ingredients: beef bun cheese lettuce tomato. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
hot_and_sour_soup,tofu mushroom bamboo_shoot egg,/dataset/food-101/images/hot_and_sour_soup/1002782.jpg,non-veg,"Gather all ingredients: tofu mushroom bamboo_shoot egg. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
hot_dog,sausage bun mustard ketchup,/dataset/food-101/images/hot_dog/1000288.jpg,vegetarian,"Gather all ingredients: sausage bun mustard ketchup. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
huevos_rancheros,tortilla eggs salsa beans,/dataset/food-101/images/huevos_rancheros/100439.jpg,non-veg,"Gather all ingredients: tortilla eggs salsa beans. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
hummus,chickpeas tahini lemon garlic,/dataset/food-101/images/hummus/1000314.jpg,vegetarian,"Gather all ingredients: chickpeas tahini lemon garlic. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
ice_cream,cream sugar vanilla,/dataset/food-101/images/ice_cream/1012277.jpg,vegetarian,"Gather all ingredients: cream sugar vanilla. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
lasagna,pasta tomato cheese beef,/dataset/food-101/images/lasagna/1004570.jpg,non-veg,"Gather all ingredients: pasta tomato cheese beef. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
lobster_bisque,lobster cream butter,/dataset/food-101/images/lobster_bisque/1022294.jpg,vegetarian,"Gather all ingredients: lobster cream butter. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
lobster_roll_sandwich,lobster bread butter mayonnaise,/dataset/food-101/images/lobster_roll_sandwich/100009.jpg,vegetarian,"Gather all ingredients: lobster bread butter mayonnaise. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
macaroni_and_cheese,macaroni cheese milk butter,/dataset/food-101/images/macaroni_and_cheese/1004059.jpg,vegetarian,"Gather all ingredients: macaroni cheese milk butter. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
macarons,almond_flour sugar egg_whites filling,/dataset/food-101/images/macarons/1001193.jpg,non-veg,"Gather all ingredients: almond_flour sugar egg_whites filling. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
miso_soup,tofu seaweed miso_paste,/dataset/food-101/images/miso_soup/1032814.jpg,vegetarian,"Gather all ingredients: tofu seaweed miso_paste. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
mussels,mussels white_wine garlic butter,/dataset/food-101/images/mussels/1015628.jpg,vegetarian,"Gather all ingredients: mussels white_wine garlic butter. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
nachos,tortilla_chips cheese jalapeno salsa,/dataset/food-101/images/nachos/100284.jpg,vegetarian,"Gather all ingredients: tortilla_chips cheese jalapeno salsa. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
omelette,eggs cheese milk butter,/dataset/food-101/images/omelette/1001719.jpg,non-veg,"Gather all ingredients: eggs cheese milk butter. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
onion_rings,onion flour egg breadcrumbs,/dataset/food-101/images/onion_rings/1017468.jpg,non-veg,"Gather all ingredients: onion flour egg breadcrumbs. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
oysters,oyster lemon hot_sauce,/dataset/food-101/images/oysters/1008124.jpg,vegetarian,"Gather all ingredients: oyster lemon hot_sauce. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
pad_thai,rice_noodles shrimp egg peanuts,/dataset/food-101/images/pad_thai/1004763.jpg,non-veg,"Gather all ingredients: rice_noodles shrimp egg peanuts. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
paella,rice seafood chicken saffron,/dataset/food-101/images/paella/1000388.jpg,non-veg,"Gather all ingredients: rice seafood chicken saffron. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
pancakes,flour milk eggs butter syrup,/dataset/food-101/images/pancakes/1009131.jpg,non-veg,"Gather all ingredients: flour milk eggs butter syrup. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
panna_cotta,cream sugar gelatin vanilla,/dataset/food-101/images/panna_cotta/1001332.jpg,vegetarian,"Gather all ingredients: cream sugar gelatin vanilla. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
peking_duck,duck hoisin_sauce pancake cucumber,/dataset/food-101/images/peking_duck/10055.jpg,vegetarian,"Gather all ingredients: duck hoisin_sauce pancake cucumber. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
pho,beef rice_noodles herbs broth,/dataset/food-101/images/pho/1005681.jpg,non-veg,"Gather all ingredients: beef rice_noodles herbs broth. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
pizza,dough tomato cheese basil,/dataset/food-101/images/pizza/1008104.jpg,vegetarian,"Gather all ingredients: dough tomato cheese basil. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
pork_chop,pork butter garlic herbs,/dataset/food-101/images/pork_chop/1000802.jpg,non-veg,"Gather all ingredients: pork butter garlic herbs. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
poutine,fries cheese_curds gravy,/dataset/food-101/images/poutine/1005364.jpg,vegetarian,"Gather all ingredients: fries cheese_curds gravy. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
prime_rib,beef butter garlic herbs,/dataset/food-101/images/prime_rib/1001089.jpg,non-veg,"Gather all ingredients: beef butter garlic herbs. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
pulled_pork_sandwich,pork barbecue_sauce bun coleslaw,/dataset/food-101/images/pulled_pork_sandwich/1004064.jpg,non-veg,"Gather all ingredients: pork barbecue_sauce bun coleslaw. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
ramen,noodles broth egg pork,/dataset/food-101/images/ramen/1002305.jpg,non-veg,"Gather all ingredients: noodles broth egg pork. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
ravioli,pasta ricotta spinach,/dataset/food-101/images/ravioli/1008464.jpg,vegetarian,"Gather all ingredients: pasta ricotta spinach. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
red_velvet_cake,flour sugar cocoa eggs buttermilk,/dataset/food-101/images/red_velvet_cake/1012312.jpg,non-veg,"Gather all ingredients: flour sugar cocoa eggs buttermilk. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
risotto,rice butter parmesan broth,/dataset/food-101/images/risotto/1004412.jpg,vegetarian,"Gather all ingredients: rice butter parmesan broth. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
samosa,potato peas pastry_spices,/dataset/food-101/images/samosa/1008131.jpg,vegetarian,"Gather all ingredients: potato peas pastry_spices. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
sashimi,fish soy_sauce wasabi,/dataset/food-101/images/sashimi/1001239.jpg,non-veg,"Gather all ingredients: fish soy_sauce wasabi. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
scallops,scallops butter garlic parsley,/dataset/food-101/images/scallops/1002727.jpg,vegetarian,"Gather all ingredients: scallops butter garlic parsley. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
seaweed_salad,seaweed sesame_oil sesame_seeds,/dataset/food-101/images/seaweed_salad/1007167.jpg,vegetarian,"Gather all ingredients: seaweed sesame_oil sesame_seeds. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
shrimp_and_grits,shrimp grits cheese butter,/dataset/food-101/images/shrimp_and_grits/1002860.jpg,non-veg,"Gather all ingredients: shrimp grits cheese butter. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
spaghetti_bolognese,spaghetti tomato beef onion,/dataset/food-101/images/spaghetti_bolognese/100127.jpg,non-veg,"Gather all ingredients: spaghetti tomato beef onion. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
spaghetti_carbonara,spaghetti egg pancetta parmesan,/dataset/food-101/images/spaghetti_carbonara/1005482.jpg,non-veg,"Gather all ingredients: spaghetti egg pancetta parmesan. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
spring_rolls,rice_paper shrimp vegetables,/dataset/food-101/images/spring_rolls/1002160.jpg,non-veg,"Gather all ingredients: rice_paper shrimp vegetables. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
steak,beef butter garlic herbs,/dataset/food-101/images/steak/1000205.jpg,non-veg,"Gather all ingredients: beef butter garlic herbs. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
strawberry_shortcake,strawberry shortcake whipped_cream,/dataset/food-101/images/strawberry_shortcake/1009217.jpg,vegetarian,"Gather all ingredients: strawberry shortcake whipped_cream. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
sushi,rice fish seaweed,/dataset/food-101/images/sushi/100332.jpg,non-veg,"Gather all ingredients: rice fish seaweed. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
tacos,tortilla beef lettuce cheese,/dataset/food-101/images/tacos/1002217.jpg,non-veg,"Gather all ingredients: tortilla beef lettuce cheese. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
takoyaki,octopus batter green_onion bonito_flakes,/dataset/food-101/images/takoyaki/1002167.jpg,vegetarian,"Gather all ingredients: octopus batter green_onion bonito_flakes. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
tiramisu,ladyfingers coffee mascarpone cocoa,/dataset/food-101/images/tiramisu/1002946.jpg,vegetarian,"Gather all ingredients: ladyfingers coffee mascarpone cocoa. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
tuna_tartare,tuna avocado sesame_oil soy_sauce,/dataset/food-101/images/tuna_tartare/1010528.jpg,vegetarian,"Gather all ingredients: tuna avocado sesame_oil soy_sauce. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
waffles,flour eggs milk butter syrup,/dataset/food-101/images/waffles/100242.jpg,non-veg,"Gather all ingredients: flour eggs milk butter syrup. | Preheat oven or prepare a cooking pan. | Prepare the ingredients by chopping, mixing, or seasoning as needed. | Cook the ingredients using the appropriate method (baking, frying, steaming, etc.). | Adjust seasonings to taste and allow the dish to rest if needed. | Serve hot and enjoy!"
